Wavelength_nm,Absorbance
380.0,0.02023258
382.0,0.0203854
384.0,0.02064716
386.0,0.020885162
388.0,0.02123475
390.0,0.021850482
392.0,0.021960251
394.0,0.022710659
396.0,0.022438534
398.0,0.021980725
400.0,0.022165708
402.0,0.02287069
404.0,0.02225668
406.0,0.022009052
408.0,0.02127982
410.0,0.02104102
412.0,0.020962477
414.0,0.020122811
416.0,0.019767724
418.0,0.018297113
420.0,0.01836513
422.0,0.016948737
424.0,0.016593903
426.0,0.010776006
428.0,0.010210544
430.0,0.010022663
432.0,0.009294264
434.0,0.009179868
436.0,0.008969218
438.0,0.0086012855
440.0,0.008721881
442.0,0.009003684
444.0,0.009224094
446.0,0.010060787
448.0,0.010942988
450.0,0.012137309
452.0,0.01344002
454.0,0.014898516
456.0,0.016682737
458.0,0.018578842
460.0,0.021280222
462.0,0.023834348
464.0,0.026865467
466.0,0.030284025
468.0,0.03442474
470.0,0.038935274
472.0,0.04444294
474.0,0.050397806
476.0,0.056163482
478.0,0.06184297
480.0,0.067659155
482.0,0.073599964
484.0,0.07889342
486.0,0.083586656
488.0,0.08854101
490.0,0.0938172
492.0,0.100665785
494.0,0.10835451
496.0,0.11736219
498.0,0.12831083
500.0,0.14161852
502.0,0.15598342
504.0,0.17237711
506.0,0.19173747
508.0,0.20992175
510.0,0.227323
512.0,0.24363509
514.0,0.25468534
516.0,0.2607938
518.0,0.26277798
520.0,0.25813496
522.0,0.24880204
524.0,0.23394832
526.0,0.21788423
528.0,0.2002303
530.0,0.18218751
532.0,0.16650671
534.0,0.15458997
536.0,0.14653015
538.0,0.14175549
540.0,0.1398772
542.0,0.14102164
544.0,0.14474842
546.0,0.14995737
548.0,0.15790693
550.0,0.16522065
552.0,0.1753118
554.0,0.18453659
556.0,0.19490036
558.0,0.20314999
560.0,0.21089742
562.0,0.21387151
564.0,0.21346852
566.0,0.20929039
568.0,0.19841138
570.0,0.18596986
572.0,0.17000891
574.0,0.15147716
576.0,0.13196163
578.0,0.113851294
580.0,0.09776496
582.0,0.08347188
584.0,0.071767785
586.0,0.0619755
588.0,0.053995233
590.0,0.04793115
592.0,0.04358162
594.0,0.040076938
596.0,0.03757355
598.0,0.036164127
600.0,0.03504451
602.0,0.034462396
604.0,0.03430175
606.0,0.034249946
608.0,0.03427118
610.0,0.035040084
612.0,0.03548759
614.0,0.03659202
616.0,0.037270635
618.0,0.038111806
620.0,0.03928694
622.0,0.040108442
624.0,0.040637985
626.0,0.042001363
628.0,0.042235292
630.0,0.042278685
632.0,0.04259909
634.0,0.04153821
636.0,0.04124299
638.0,0.04080283
640.0,0.040349644
642.0,0.039021235
644.0,0.03813285
646.0,0.03646133
648.0,0.034443866
650.0,0.032919902
652.0,0.03002859
654.0,0.027625296
656.0,0.024894956
658.0,0.022495814
660.0,0.020021802
662.0,0.017853685
664.0,0.015641965
666.0,0.013619343
668.0,0.011677556
670.0,0.0097128395
672.0,0.008007152
674.0,0.0065229954
676.0,0.0054713674
678.0,0.0040996177
680.0,0.0032784874
682.0,0.0029356051
684.0,0.0022916861
686.0,0.001674687
688.0,0.0018210083
690.0,0.0015701493
692.0,0.0013820465
694.0,0.0012321966
696.0,0.0015717745
698.0,0.0015527627
700.0,0.0014902006
702.0,0.0012957333
704.0,0.0010786027
706.0,0.0012382253
708.0,0.0010030859
710.0,0.0012886815
712.0,0.00077622675
714.0,0.0009782667
716.0,0.0007153255
718.0,0.0007177718
720.0,0.0006235267
722.0,0.00053607085
724.0,0.00048424024
726.0,0.0005500432
728.0,0.0007481159
730.0,0.00042448041
732.0,0.00062077853
734.0,0.00016005652
736.0,0.00038532016
738.0,6.204308e-05
740.0,0.0003077939
742.0,6.574468e-05
744.0,0.00026614242
746.0,0.00010474655
748.0,0.00017586868
750.0,-8.5866486e-05
752.0,0.00021905173
754.0,-0.00017109013
756.0,0.00010844797
758.0,-4.112802e-05
